Nom;SIRET;SIREN;Adresse;Code Postal;Ville;Téléphone;Code NAF;Catégorie;Zone Recherche;Secteur S&Y
CALCAGNI AUTOMOBILES;80914875200011;809148752;33 RUE DE LA REPUBLIQUE 69002 LYON;69002;LYON;+33 6 11 78 41 39;45.11Z;concession;Lyon;BTP / Mécanique
GARAGE PIEGAY;32897038900024;328970389;9 RUE DUHAMEL 69002 LYON;69002;LYON;+33 4 72 77 09 70;45.11Z;concession;Lyon;BTP / Mécanique
SIMON BENHAMOU;34458288700040;344582887;410 ROUTE NATIONALE 6 69380 DOMMARTIN;69380;DOMMARTIN;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
GT MOTORS;80128060300011;801280603;3 COURS CHARLEMAGNE 69002 LYON;69002;LYON;+33 2 00 36 10 00;45.11Z;concession;Lyon;BTP / Mécanique
DISTRICARS RHONE ALPES;79107869400019;791078694;3 COURS CHARLEMAGNE 69002 LYON;69002;LYON;+33 4 27 11 90 07;45.11Z;concession;Lyon;BTP / Mécanique
PARK AUTO LYON;52142455600038;521424556;124 RUE BUGEAUD 69006 LYON;69006;LYON;+33 4 78 60 19 01;45.11Z;concession;Lyon;BTP / Mécanique
VLADA KRIZAJ;51856933000013;518569330;22 RUE GENTIL 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
OILID JAFFALI (DADA AUTO);50991795100030;509917951;119 RUE SMITH 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ARNOUX-PROST-ENTERPRISES (COPERNICUS SOFTWARE SOLUTIONS);89493137700028;894931377;38 LIEU DIT POUZATS 81530 LE MASNAU-MASSUGUIES;81530;LE MASNAU-MASSUGUIES;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
TAW (TAW) (TAW);94224824600012;942248246;12 RUE DE LA REPUBLIQUE 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
TETRIS;94489394000014;944893940;2 RUE DES FORCES 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
NASSIM TRANSPORT;84156258000016;841562580;30 RUE DUGAS MONTBEL 69002 LYON;69002;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
HRC;31162281500042;311622815;2 RUE DES ROSIERISTES 69760 LIMONEST;69760;LIMONEST;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
BH'AUTO;53785886200015;537858862;33 RUE DE LA REPUBLIQUE 69002 LYON;69002;LYON;+33 6 43 97 66 15;45.11Z;concession;Lyon;BTP / Mécanique
LANZ EUROPE;38914352000044;389143520;PARC ACTIVITES DE MASSIEUX 78 ALL LUMIERE 01600 MASSIEUX;01600;MASSIEUX;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CENTRAL AUTOS (GROUPE CENTRAL AUTOS);78009637600089;780096376;49 B BOULEVARD LUCIEN SAMPAIX 69190 SAINT-FONS;69190;SAINT-FONS;+33 4 72 28 97 00;45.11Z;concession;Lyon;BTP / Mécanique
FELIX FAURE AUTOMOBILES;38927089300172;389270893;51 RUE ROGER SALENGRO 69200 VENISSIEUX;69200;VENISSIEUX;+33 4 72 60 01 01;45.11Z;concession;Lyon;BTP / Mécanique
FCA FRANCE;30549317300549;305493173;43 RUE JEAN PIERRE TIMBAUD 78300 POISSY;78300;POISSY;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CITY BIKE EVASION (CITY BIKE 38);42134500000077;421345000;ZA LE GRAND PLANOT 38290 LA VERPILLIERE;38290;LA VERPILLIERE;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
EMERAUDES AVENUE;39403303900048;394033039;82 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
RC PRESTIGE;51205486700027;512054867;5 ROUTE DE NIEDERMORSCHWIHR 68230 TURCKHEIM;68230;TURCKHEIM;+33 4 78 32 53 87;45.11Z;concession;Lyon;BTP / Mécanique
MD LEASE;79090421300036;790904213;350 CHEMIN DE PAISY 69760 LIMONEST;69760;LIMONEST;+33 4 78 52 52 45;45.11Z;concession;Lyon;BTP / Mécanique
DELIAH CARS;83752264800042;837522648;18 RUE ALBERT CAMUS 69200 VENISSIEUX;69200;VENISSIEUX;+33 4 37 25 00 25;45.11Z;concession;Lyon;BTP / Mécanique
MOHAMED GUIDOUM;82301866800017;823018668;91 ROUTE DE VIENNE 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
PART DIEU AUTOMOBILES;39919194900029;399191949;36 RUE DE L'UNIVERSITE 69007 LYON;69007;LYON;+33 6 16 88 22 01;45.11Z;concession;Lyon;BTP / Mécanique
NOMADE 69;49136800700028;491368007;CHEMIN DE SACUNY 69530 BRIGNAIS;69530;BRIGNAIS;+33 4 78 60 01 36;45.11Z;concession;Lyon;BTP / Mécanique
VI.OCCASION;81803356500024;818033565;IMMEUBLE DANICA B 21 AVENUE GEORGES POMPIDOU 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
NEXYO MOBILITES;90983083800027;909830838;195-199 195 AVENUE FRANCIS DE PRESSENSE 69200 VENISSIEUX;69200;VENISSIEUX;+33 4 51 23 64 80;45.11Z;concession;Lyon;BTP / Mécanique
K.W AUTOMOBILES;75299878100039;752998781;14 RUE GENERAL DE MIRIBEL 69007 LYON;69007;LYON;+33 6 07 32 72 52;45.11Z;concession;Lyon;BTP / Mécanique
AGENCE AUTO-IMMO;98231958400016;982319584;54 RUE ETIENNE RICHERAND 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ABC;41781900000023;417819000;14-20 RUE GERMAINE 69200 VENISSIEUX;69200;VENISSIEUX;+33 4 78 57 37 81;45.11Z;concession;Lyon;BTP / Mécanique
GILLES CABECAS (CABECAS GILLES);41865452100099;418654521;2 RUE DU MONT D'OR 69450 SAINT-CYR-AU-MONT-D'OR;69450;SAINT-CYR-AU-MONT-D'OR;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
RENE GUY;34419802300030;344198023;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MEKKA AUTO;10040592700011;100405927;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 29 38 24 64;45.11Z;concession;Lyon;BTP / Mécanique
FLORIAN ACHOUIL (2A AUTO);53378531700025;533785317;13 RUE EDISON 69330 MEYZIEU;69330;MEYZIEU;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
C.R.P.;53396949900029;533969499;15 RUE CLAUDIUS PENET 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ND AUTOMOBILES (VOITURES VINTAGE);79249410600034;792494106;9 RUE DU PROGRES 69800 SAINT-PRIEST;69800;SAINT-PRIEST;+33 6 07 32 72 52;45.11Z;concession;Lyon;BTP / Mécanique
SAID HAMDACHE;79324130800014;793241308;BAT A 5 IMPASSE VICTOR HUGO 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
THIERNO BAH;52049473300030;520494733;19 RUE AUGUSTE PAYANT 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CARS AUTOMOBILES;79143713000028;791437130;250 ROUTE DE GENAS 69500 BRON;69500;BRON;+33 4 87 62 12 65;45.11Z;concession;Lyon;BTP / Mécanique
JUGURTHA BOUDJEMAA (CHRONO SERVICES);83032121200029;830321212;BOITE 22 17 RUE DU CHEMIN DE FER 93500 PANTIN;93500;PANTIN;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
KEVIN REMOND;82447026400055;824470264;254 RUE VENDOME 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
GARAGE BRONDEL;87748369300033;877483693;2 CHEMIN DE LA VALLEE 69580 SATHONAY-CAMP;69580;SATHONAY-CAMP;+33 7 78 66 15 72;45.11Z;concession;Lyon;BTP / Mécanique
SOC ETABLISSEMENTS DUBUIT;32250531400060;322505314;126 RUE DE GERLAND 69007 LYON;69007;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CHRISTIAN FESSY;33084762500036;330847625;4 QUAI JOSEPH GILLET 69004 LYON;69004;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ABDERRAHMANE MEBARKI (MBK);38222732000027;382227320;62 B RUE DE LA REPUBLIQUE 69330 MEYZIEU;69330;MEYZIEU;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MB DISTRIBUTION;40256653300061;402566533;44 ROUTE DE GENAS 69003 LYON;69003;LYON;+33 4 28 29 93 99;45.11Z;concession;Lyon;BTP / Mécanique
SOPRIM;41216050900037;412160509;117 COURS RICHARD VITTON 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ALEXANDRE MARIEN;42147665600028;421476656;273 RUE DE CREQUI 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CERDAN AUTO;43787718600035;437877186;42 RUE SAINT MICHEL 69007 LYON;69007;LYON;+33 6 50 62 17 53;45.11Z;concession;Lyon;BTP / Mécanique
PACIFIC TRUCKS;44089107500036;440891075;279 RUE PAUL BERT 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
EURO COURSES SERVICES;48978788700053;489787887;254 RUE VENDOME 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MOHAMED BOUZID (LOOK AUTO 69 MB);48748664900030;487486649;3 RUE GUY DE MAUPASSANT 69800 SAINT-PRIEST;69800;SAINT-PRIEST;+33 4 69 60 02 43;45.11Z;concession;Lyon;BTP / Mécanique
JEAN PHILIPPE ANGELUS;79494189800015;794941898;44 ROUTE DE GENAS 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
BOUZID SEGUENI (SBS);51755856500035;517558565;37 AVENUE JEAN MOULIN 69520 GRIGNY;69520;GRIGNY;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
PALACE GARAGE;51846492000033;518464920;11 IMPASSE DU RHONE 69960 CORBAS;69960;CORBAS;+33 6 10 62 47 83;45.11Z;concession;Lyon;BTP / Mécanique
PASCAL SARARD;75008712400020;750087124;21 QUAI PAUL SEDALLIAN 69009 LYON;69009;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
SEBASTIEN OLIVIER (MSC AUTO);50798919200020;507989192;117 RUE DU DAUPHINE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
RADHOUANE NAGHMOUCHI (CHAINEZE AUTO);75179089000030;751790890;148 AVENUE FELIX FAURE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
AUTO BELLICARD;53537467200025;535374672;2 RUE BELLICARD 69003 LYON;69003;LYON;+33 6 37 34 54 68;45.11Z;concession;Lyon;BTP / Mécanique
CRISTIAN LAZAR;53796027000016;537960270;303 RUE DUGUESCLIN 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
SABRINA BOUZAR (SABRINA);81811584200028;818115842;18 RUE DE LA RUCHE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
YB AUTO;81820992600018;818209926;1 RUE D'ARMENIE 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
SAMUEL AMOUYAL;80828618100033;808286181;224 AVENUE FELIX FAURE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
AF-AUTOMOBILES;79422342000025;794223420;60 CHEMIN DU CHARBONNIER 69200 VENISSIEUX;69200;VENISSIEUX;+33 6 07 32 72 52;45.11Z;concession;Lyon;BTP / Mécanique
REMI MARIN (AUTO MR);93117424700011;931174247;62 RUE SAINTE ANNE DE BARABAN 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
AF AUTOMOBILES;88100507800012;881005078;10 RUE BELLICARD 69003 LYON;69003;LYON;+33 6 07 32 72 52;45.11Z;concession;Lyon;BTP / Mécanique
FLASH CARROSSERIE;92843422400020;928434224;37 AVENUE DU 8 MAI 1945 69120 VAULX-EN-VELIN;69120;VAULX-EN-VELIN;+33 6 19 91 22 39;45.11Z;concession;Lyon;BTP / Mécanique
BILAL SAADI;90145370400024;901453704;110 COURS TOLSTOI 69100 VILLEURBANNE;69100;VILLEURBANNE;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ELEGANCE AUTOS;85230714900017;852307149;36 RUE PAUL BERT 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
DIGITAL CONCEPT (D.C.);91817641300030;918176413;29 RUE JULES VERNE 63100 CLERMONT-FERRAND;63100;CLERMONT-FERRAND;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
JET MOTORS;91898043400040;918980434;60 RUE DE LA JONQUIERE 75017 PARIS;75017;PARIS;+33 6 34 37 78 99;45.11Z;concession;Lyon;BTP / Mécanique
MEHDI SALHI (SM AUTO PARTS);94373171100017;943731711;25 RUE DESAIX 69003 LYON;69003;LYON;+33 9 50 07 98 37;45.11Z;concession;Lyon;BTP / Mécanique
EKA MOTORS;94394816600013;943948166;254 RUE VENDOME 69003 LYON;69003;LYON;+33 7 49 35 55 77;45.11Z;concession;Lyon;BTP / Mécanique
JUALNA AUTO (JUALNA AUTO);94431017600010;944310176;1 B RUE DOCTEUR BONHOMME 69003 LYON;69003;LYON;+33 6 09 34 36 95;45.11Z;concession;Lyon;BTP / Mécanique
HAMZA OUHEDENIA;93949860600036;939498606;37 AVENUE LACASSAGNE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
OTS AUTO (OTS AUTO);93294414300019;932944143;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
PRUDENT AUTOMOBILE (PRUDENT AUTOMOBILE);93028965700031;930289657;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 12 30 11 59;45.11Z;concession;Lyon;BTP / Mécanique
AHMED CHENITI (MIDO AUTO);93500801100014;935008011;114 RUE NEY 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
DRIVITE;93804888100016;938048881;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 4 11 66 56 11;45.11Z;concession;Lyon;BTP / Mécanique
VEGA AUTOMOBILE;97350797300129;973507973;IMMEUBLE LE GALAXIE 75 RUE DE LA VILLETTE 69003 LYON;69003;LYON;+33 6 12 30 11 59;45.11Z;concession;Lyon;BTP / Mécanique
NET & GO;97845201900018;978452019;48 ROUTE DE GENAS 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CARBUZZ;97903104400030;979031044;500 RUE PIERRE ET LAURENT RAMUS 73000 CHAMBERY;73000;CHAMBERY;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CH AUTO;98273945000012;982739450;8 RUE DES PETITES SOEURS 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
RDH AUTO;98339658100024;983396581;70 AVENUE DES BRUYERES 69150 DECINES-CHARPIEU;69150;DECINES-CHARPIEU;+33 6 51 91 00 87;45.11Z;concession;Lyon;BTP / Mécanique
ALP DRIVE;98463041800015;984630418;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 7 82 67 80 86;45.11Z;concession;Lyon;BTP / Mécanique
LMP MOTORS;98832071900020;988320719;INNOVESPACE PERICA 206 RUE DES TERRES BOURDIN 69140 RILLIEUX-LA-PAPE;69140;RILLIEUX-LA-PAPE;+33 2 00 36 10 00;45.11Z;concession;Lyon;BTP / Mécanique
RACE PRO AUTOS;98886742000016;988867420;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 4 81 06 08 40;45.11Z;concession;Lyon;BTP / Mécanique
YANNA AUTO;98894003700019;988940037;61 COURS DE LA LIBERTE 69003 LYON;69003;LYON;+33 6 09 34 36 95;45.11Z;concession;Lyon;BTP / Mécanique
PRESTIGE BY CAR;99524586700016;995245867;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 4 78 32 53 87;45.11Z;concession;Lyon;BTP / Mécanique
GROUPE LAMBERT AUTOMOBILE;99532241900020;995322419;73 RUE PAUL ET MARC BARBEZAT 69150 DECINES-CHARPIEU;69150;DECINES-CHARPIEU;+33 9 87 31 70 84;45.11Z;concession;Lyon;BTP / Mécanique
VAN CAMPERS;99975582000019;999755820;TOUR PART-DIEU 129 RUE SERVIENT 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MOHAMED HAMDA (MYKAR);99986073700017;999860737;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
6AUTO9;10199627000019;101996270;12 RUE DE LA PART-DIEU 69003 LYON 3EME;69003;LYON 3EME;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
JEAN VILNET;10141067800011;101410678;78 RUE DE BONNEL 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
A.S. AUTO;49983700300031;499837003;436 CHEMIN DES FONTAINES 38540 GRENAY;38540;GRENAY;+33 4 78 64 56 18;45.11Z;concession;Lyon;BTP / Mécanique
NTL MOTORS;49228583800024;492285838;102 RUE BOSSUET 69006 LYON;69006;LYON;+33 6 34 37 78 99;45.11Z;concession;Lyon;BTP / Mécanique
AUTO EMOTION;79463535900019;794635359;73 COURS ALBERT THOMAS 69003 LYON;69003;LYON;+33 6 37 34 54 68;45.11Z;concession;Lyon;BTP / Mécanique
MISS AUTO;79504037700017;795040377;26 RUE DE L'HARMONIE 69003 LYON;69003;LYON;+33 6 09 34 36 95;45.11Z;concession;Lyon;BTP / Mécanique
NICOLAS LOUBE;79346188000015;793461880;21 AVENUE GEORGES POMPIDOU 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
P5 AUTOS;79829984800019;798299848;15 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON;69003;LYON;+33 6 88 45 25 32;45.11Z;concession;Lyon;BTP / Mécanique
LAFAYETTE AUTOMOBILES;32881337300045;328813373;138 RUE LEON BLUM 69100 VILLEURBANNE;69100;VILLEURBANNE;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
SYMBOL CARS;39231204700070;392312047;2 BOULEVARD LUCIEN SAMPAIX 69190 SAINT-FONS;69190;SAINT-FONS;+33 4 81 09 17 75;45.11Z;concession;Lyon;BTP / Mécanique
LARBI TCHEIR;42040285100042;420402851;48 B AVENUE GRANDCLEMENT 69120 VAULX-EN-VELIN;69120;VAULX-EN-VELIN;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ELIR (E.L.I.R.);44364243400049;443642434;15 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
AIXIA;44500537400050;445005374;16 CHEMIN DU SOLEIL D’OR 06590 THEOULE-SUR-MER;06590;THEOULE-SUR-MER;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
A.P.E.;45208680400021;452086804;24 ALLEE BUFFON 69110 SAINTE-FOY-LES-LYON;69110;SAINTE-FOY-LES-LYON;+33 4 78 45 38 48;45.11Z;concession;Lyon;BTP / Mécanique
GARAGE AMBROISE PARE;44099530600022;440995306;20 RUE COLETTE 69008 LYON;69008;LYON;+33 4 78 74 98 27;45.11Z;concession;Lyon;BTP / Mécanique
MOHAMMED ALOUANE (N.S CAR);80424799700039;804247997;18 RUE DU BOCAGE 69008 LYON;69008;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MOUNIR DINAR;80079957900019;800799579;4 RUE SAINT CHARLES 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
HW AUTOS;79194158600020;791941586;46 RUE VICTOR HUGO 69200 VENISSIEUX;69200;VENISSIEUX;+33 6 88 45 25 32;45.11Z;concession;Lyon;BTP / Mécanique
RS CARS;79240781900012;792407819;55 RUE BARABAN 69003 LYON;69003;LYON;+33 6 18 86 60 86;45.11Z;concession;Lyon;BTP / Mécanique
TOYOTA FRANCE (TFR);71203404000154;712034040;N°20 A 30 20 BOULEVARD DE LA REPUBLIQUE 92420 VAUCRESSON;92420;VAUCRESSON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ZEUHAYR LAMHAMDI (SERVICE CARTE GRISE);74988874900035;749888749;12 RUE DU PORT VILLIERS 71100 CHALON-SUR-SAONE;71100;CHALON-SUR-SAONE;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
SAMET SIMSEK (CAR ERNEST);53410197700039;534101977;254 RUE VENDOME 69003 LYON;69003;LYON;+33 4 78 95 39 30;45.11Z;concession;Lyon;BTP / Mécanique
P2A (P2A);82786610400017;827866104;21 RUE DE LA BANNIERE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
NICOLAS ROUMEZY (NR PERF);88894946800027;888949468;47 RUE DU DAUPHINE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
VAN AUTOS;90775965800012;907759658;TOUR PART DIEU 129 RUE SERVIENT 69003 LYON;69003;LYON;+33 4 78 23 71 28;45.11Z;concession;Lyon;BTP / Mécanique
MOURAD MANSOURI (AUTOMANS);90273405200019;902734052;114 RUE NEY 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
SALAH AZZOUZ;88848267600010;888482676;44 B RUE FEUILLAT 69003 LYON 3EME;69003;LYON 3EME;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ROYAL MOTORS;53792507500013;537925075;55 RUE BARABAN 69003 LYON;69003;LYON;+33 7 49 35 55 77;45.11Z;concession;Lyon;BTP / Mécanique
VOLKSWAGEN GROUP AUTOMOTIVE RETAIL FRANCE (VAG);60202553800078;602025538;11 AVENUE DE BOURSONNE 02600 VILLERS-COTTERETS;02600;VILLERS-COTTERETS;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ARMEN SARGSYAN;84179120500021;841791205;BAT A 57 RUE HENRI GORJUS 69004 LYON;69004;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MOHAMED MAOUCHE;81792321200010;817923212;11 RUE JEAN-PIERRE LEVY 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
CARTER;88535814300026;885358143;47 T RUE DE L'AGRICULTURE 69960 CORBAS;69960;CORBAS;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ABDELKADER MECHEMOUM;80177727700014;801777277;176 AVENUE LACASSAGNE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ROMEO COVACI (C ROMERO VENTES ACHATS);99046819100012;990468191;110 RUE DU DAUPHINE 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MERCUREA;98516957200015;985169572;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 10 73 96 38;45.11Z;concession;Lyon;BTP / Mécanique
GARAGE DE FRANCE;96350552400016;963505524;213 RUE PAUL BERT 69003 LYON;69003;LYON;+33 4 78 54 18 78;45.11Z;concession;Lyon;BTP / Mécanique
ALCIA LYON SUD;97150354500107;971503545;IMM LE GALAXIE 75 RUE DE LA VILLETTE 69003 LYON;69003;LYON;+33 4 81 68 34 53;45.11Z;concession;Lyon;BTP / Mécanique
YASSINE BELHADJ (PLOMB'24/24);95143648400012;951436484;2 PLACE DANTON 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
WORLDS DRIVE (WORLDS DRIVE);92809758300019;928097583;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 4 11 66 56 11;45.11Z;concession;Lyon;BTP / Mécanique
JL AUTO 26;92812883400019;928128834;12 RUE DE LA PART-DIEU 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
MOURAD CHRIGUI (CHRIGUI AUTOS);97967457900011;979674579;123 RUE ANTOINE CHARIAL 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
ZN AUTO;98090978200024;980909782;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
TOO LOK;92914111700028;929141117;254 RUE VENDOME 69003 LYON;69003;LYON;+33 6 37 34 54 68;45.11Z;concession;Lyon;BTP / Mécanique
ENZO MOTORS;94889298900013;948892989;136 COURS LAFAYETTE 69003 LYON;69003;LYON;+33 6 82 18 64 50;45.11Z;concession;Lyon;BTP / Mécanique
OLIVIA MONTI (MNT AUTO);99006961900015;990069619;268 RUE VENDOME 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
HA EXCLUSIF (PRESSKING);99139916300013;991399163;254 RUE VENDOME 69003 LYON 3EME;69003;LYON 3EME;+33 6 37 34 54 68;45.11Z;concession;Lyon;BTP / Mécanique
TRANSAUTO;99233952300019;992339523;21 RUE D'ESSLING 69003 LYON;69003;LYON;+33 9 86 26 62 41;45.11Z;concession;Lyon;BTP / Mécanique
VIRTUOSE (VIRTUOSE);99317566000014;993175660;118 RUE BARABAN 69003 LYON;69003;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
B2A AUTO;99361046800015;993610468;31 B RUE FEUILLAT 69003 LYON;69003;LYON;+33 6 19 31 83 40;45.11Z;concession;Lyon;BTP / Mécanique
AA AUTOMOBILE;10225250900017;102252509;71 COURS ALBERT THOMAS 69003 LYON;69003;LYON;+33 6 12 30 11 59;45.11Z;concession;Lyon;BTP / Mécanique
LCCM;48320754400022;483207544;43 RUE DUQUESNE 69006 LYON;69006;LYON;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
MSA INTERNATIONAL SA;43232399600012;432323996;L 1259 SENNINGERBERG ZI BREEDEWUES LUXEMBOURG;None;;+33 1 23 45 67 89;45.11Z;concession;Lyon;BTP / Mécanique
P.A.S. PREMIUM AUTO SELECTION;49757538100015;497575381;27 RUE DE LA VILLETTE 69003 LYON;69003;LYON;+33 6 15 98 26 92;45.11Z;concession;Lyon;BTP / Mécanique
